parameter,value,unit,r2,mae,rmse,n_windows,date_range
alpha,40594.58835446442,kcal/kg,0.03862379725158194,0.7262382319468251,0.9328518279913297,172,2021-01-01 to 2021-12-31
c,2.1968437094876663,unitless,0.03862379725158194,0.7262382319468251,0.9328518279913297,172,2021-01-01 to 2021-12-31
bmr0,-0.0,kcal/day,0.03862379725158194,0.7262382319468251,0.9328518279913297,172,2021-01-01 to 2021-12-31
k_lbm,-1000.5194785372096,kcal/day/kg,0.03862379725158194,0.7262382319468251,0.9328518279913297,172,2021-01-01 to 2021-12-31
