parameter,value,unit,r2,mae,rmse,n_windows,date_range
alpha,-79338.9437082462,kcal/kg,0.01841637027103349,0.7052510588139017,0.89683282673507,182,2021-01-01 to 2021-12-31
c,-2.024059228823918,unitless,0.01841637027103349,0.7052510588139017,0.89683282673507,182,2021-01-01 to 2021-12-31
bmr0,0.0,kcal/day,0.01841637027103349,0.7052510588139017,0.89683282673507,182,2021-01-01 to 2021-12-31
k_lbm,3667.174416319884,kcal/day/kg,0.01841637027103349,0.7052510588139017,0.89683282673507,182,2021-01-01 to 2021-12-31
