parameter,value,unit,r2,mae,rmse,n_windows,date_range
alpha,49471.93261888924,kcal/kg,0.06544293802789891,0.821246191065881,1.0590865569909544,824,2021-01-01 to 2024-12-31
c,-2.378706382379843,unitless,0.06544293802789891,0.821246191065881,1.0590865569909544,824,2021-01-01 to 2024-12-31
bmr0,-0.0,kcal/day,0.06544293802789891,0.821246191065881,1.0590865569909544,824,2021-01-01 to 2024-12-31
k_lbm,-190.10418385916842,kcal/day/kg,0.06544293802789891,0.821246191065881,1.0590865569909544,824,2021-01-01 to 2024-12-31
