parameter,value,unit,r2,mae,rmse,n_windows,date_range
alpha,24898.93909133268,kcal/kg,0.01722524168864248,0.7933746645421559,1.0224871007735141,831,2021-01-01 to 2024-12-31
c,-0.7428193856205394,unitless,0.01722524168864248,0.7933746645421559,1.0224871007735141,831,2021-01-01 to 2024-12-31
bmr0,-0.0,kcal/day,0.01722524168864248,0.7933746645421559,1.0224871007735141,831,2021-01-01 to 2024-12-31
k_lbm,-220.88416448950827,kcal/day/kg,0.01722524168864248,0.7933746645421559,1.0224871007735141,831,2021-01-01 to 2024-12-31
